station,temp,YY,MM,DD,hh,mm
bdxc1,10.93708333,2016,6,27,23,0
bdxc1,10.09833333,2016,6,28,23,0
bdxc1,9.675,2016,6,29,23,0
bdxc1,9.91875,2016,6,30,23,0
bdxc1,10.52608696,2016,7,1,23,0
bdxc1,11.22916667,2016,7,2,23,0
bdxc1,11.7907173,2016,7,3,23,0
bdxc1,12.0625,2016,7,4,23,0
bdxc1,12.57941176,2016,7,5,23,0
bdxc1,12.70630252,2016,7,6,23,0
bdxc1,12.12468619,2016,7,7,23,0
bdxc1,11.89,2016,7,8,23,0
bdxc1,11.88625,2016,7,9,23,0
bdxc1,11.88781513,2016,7,10,23,0
bdxc1,10.77983193,2016,7,11,23,0
bdxc1,10.56166667,2016,7,12,23,0
bdxc1,10.08066038,2016,7,13,23,0
bdxc1,11.1407563,2016,7,14,23,0
bdxc1,12.00333333,2016,7,15,23,0
bdxc1,12.21416667,2016,7,16,23,0
bdxc1,12.6775,2016,7,17,23,0
bdxc1,12.50084034,2016,7,18,23,0
bdxc1,11.75541667,2016,7,19,23,0
bdxc1,11.38541667,2016,7,20,23,0
bdxc1,11.28059072,2016,7,21,23,0
bdxc1,10.87016807,2016,7,22,23,0
bdxc1,10.79708333,2016,7,23,23,0
bdxc1,10.38445378,2016,7,24,23,0
bdxc1,10.94393305,2016,7,25,23,0
bdxc1,11.92436975,2016,7,26,23,0
bdxc1,11.91125,2016,7,27,23,0
bdxc1,12.46208333,2016,7,28,23,0
bdxc1,13.47625,2016,7,29,23,0
bdxc1,13.7894958,2016,7,30,23,0
bdxc1,14.04125,2016,7,31,23,0
bdxc1,14.83096234,2016,8,1,23,0
bdxc1,15.36848739,2016,8,2,23,0
bdxc1,15.02358079,2016,8,3,23,0
bdxc1,14.45961538,2016,8,4,23,0
bdxc1,14.39291667,2016,8,5,23,0
bdxc1,14.41506276,2016,8,6,23,0
bdxc1,13.4,2016,8,7,23,0
bdxc1,11.8425,2016,8,8,23,0
bdxc1,11.23625,2016,8,9,23,0
bdxc1,11.75983264,2016,8,10,23,0
bdxc1,12.56297872,2016,8,11,23,0
bdxc1,13.18583333,2016,8,12,23,0
bdxc1,14.3,2016,8,13,23,0
bdxc1,14.41208333,2016,8,14,23,0
bdxc1,13.6612766,2016,8,15,23,0
bdxc1,14.11541667,2016,8,16,23,0
bdxc1,13.66541667,2016,8,17,23,0
bdxc1,13.92791667,2016,8,18,23,0
bdxc1,14.80806452,2016,8,19,23,0
bdxc1,15.17,2016,8,20,23,0
bdxc1,14.96541667,2016,8,21,23,0
bdxc1,15.22333333,2016,8,22,23,0
bdxc1,15.23924051,2016,8,23,23,0
bdxc1,15.55708333,2016,8,24,23,0
bdxc1,15.06945607,2016,8,25,23,0
bdxc1,15.03957447,2016,8,26,23,0
bdxc1,15.01833333,2016,8,27,23,0
bdxc1,15.77958333,2016,8,28,23,0
bdxc1,16.21799163,2016,8,29,23,0
bdxc1,14.77154812,2016,8,30,23,0
bdxc1,12.81464435,2016,8,31,23,0
bdxc1,12.44016736,2016,9,1,23,0
bdxc1,12.47621951,2016,9,2,23,0
bdxc1,12.975,2016,12,1,23,0
bdxc1,12.99166667,2016,12,2,23,0
bdxc1,12.47083333,2016,12,3,23,0
bdxc1,12.7125,2016,12,4,23,0
bdxc1,12.88333333,2016,12,5,23,0
bdxc1,12.05416667,2016,12,6,23,0
bdxc1,11.4,2016,12,7,23,0
bdxc1,10.67083333,2016,12,8,23,0
bdxc1,11.3125,2016,12,9,23,0
bdxc1,11.85833333,2016,12,10,23,0
bdxc1,11.7375,2016,12,11,23,0
bdxc1,11.66666667,2016,12,12,23,0
bdxc1,11.75833333,2016,12,13,23,0
bdxc1,11.90833333,2016,12,14,23,0
bdxc1,11.9,2016,12,15,23,0
bdxc1,11.99583333,2016,12,16,23,0
bdxc1,11.5125,2016,12,17,23,0
bdxc1,11.3375,2016,12,18,23,0
bdxc1,11.35,2016,12,19,23,0
bdxc1,11.27916667,2016,12,20,23,0
bdxc1,11.475,2016,12,21,23,0
bdxc1,11.54166667,2016,12,22,23,0
bdxc1,11.57916667,2016,12,23,23,0
bdxc1,11.41666667,2016,12,24,23,0
bdxc1,11.12916667,2016,12,25,23,0
bdxc1,10.62916667,2016,12,26,23,0
bdxc1,10.59583333,2016,12,27,23,0
bdxc1,10.825,2016,12,28,23,0
bdxc1,10.94583333,2016,12,29,23,0
bdxc1,10.89583333,2016,12,30,23,0
bdxc1,11.1125,2016,12,31,23,0
bdxc1,11.175,2017,1,1,23,0
bdxc1,11.1375,2017,1,2,23,0
bdxc1,10.9125,2017,1,3,23,0
bdxc1,10.85416667,2017,1,4,23,0
bdxc1,10.70833333,2017,1,5,23,0
bdxc1,10.54583333,2017,1,6,23,0
bdxc1,10.22083333,2017,1,7,23,0
bdxc1,11.0875,2017,1,8,23,0
bdxc1,11.47083333,2017,1,9,23,0
bdxc1,11.62083333,2017,1,10,23,0
bdxc1,12.06666667,2017,1,11,23,0
bdxc1,13.47916667,2017,1,12,23,0
bdxc1,13.30416667,2017,1,13,23,0
bdxc1,11.425,2017,1,14,23,0
bdxc1,11.45833333,2017,1,15,23,0
bdxc1,11.575,2017,1,16,23,0
bdxc1,11.7875,2017,1,17,23,0
bdxc1,11.375,2017,1,18,23,0
bdxc1,11.9625,2017,1,19,23,0
bdxc1,11.68333333,2017,1,20,23,0
bdxc1,11.64583333,2017,1,21,23,0
bdxc1,11.675,2017,1,22,23,0
bdxc1,11.5875,2017,1,23,23,0
bdxc1,11.64166667,2017,1,24,23,0
bdxc1,11.63333333,2017,1,25,23,0
bdxc1,11.79166667,2017,1,26,23,0
bdxc1,11.84166667,2017,1,27,23,0
bdxc1,11.775,2017,1,28,23,0
bdxc1,11.64166667,2017,1,29,23,0
bdxc1,11.60833333,2017,1,30,23,0
bdxc1,11.65,2017,1,31,23,0
bdxc1,11.49565217,2017,2,1,23,0
bdxc1,11.66086957,2017,2,2,23,0
bdxc1,12.07083333,2017,2,3,23,0
