book_id,title,author,publisher,creation_date,pub_date,item_type,location_code,material_type,barcode,publication_place,language,descripton,loans
792,Décadas del Nuevo Mundo;,"Anghiera, Pietro Martire d', 1457-1526.","Editorial Bajel Distribuidor exclusivo Librería ""El Ateneo""",2016-08-03T01:52:06Z,1944.,Book - Physical,GEN,Book,31175015496931,"Buenos Aires,",spa,NA,1
793,Renga : a chain of poems /,NA,George Braziller,2016-08-03T01:52:07Z,[1972],Book - Physical,GEN,Book,31175001967317,New York :,eng,NA,1
794,Modernist alchemy : poetry and the occult /,"Materer, Timothy, 1940-",Cornell University Press,2016-08-03T01:52:11Z,1995.,Book - Physical,GEN,Book,31175021149235,Ithaca :,eng,NA,1
795,Modern graph theory /,"Bollobás, Béla.",Springer,2016-08-03T01:52:21Z,©1998.,Book - Physical,GEN,Book,31175023521423,New York :,eng,NA,1
796,Yeats and alchemy /,"Gorski, William T., 1957-",State University of New York Press,2016-08-03T01:52:24Z,©1996.,Book - Physical,GEN,Book,31175021149243,"Albany, NY :",eng,NA,1
797,Ambiguous borderlands : shadow imagery in Cold War American culture /,"Mortenson, Erik, 1970- author.",Southern Illinois University Press,2016-08-03T01:52:25Z,2016.,Book - Physical,GEN,Book,31175036430380,Carbondale :,eng,NA,1
798,"Multicultural literature for Latino bilingual children : their words, their worlds /",NA,Rowman & Littlefield,2016-08-03T01:52:29Z,[2016],Book - Physical,GEN,Book,31175036473513,"Lanham, Maryland :",eng,NA,1
799,"Social, casual and mobile games : the changing gaming landscape /",NA,Bloomsbury Academic,2016-08-03T01:52:27Z,2016.,Book - Physical,GEN,Book,31175036480153,New York :,eng,NA,1
800,The Flavonoids : advances in research since 1980 /,NA,Chapman and Hall,2016-08-03T01:52:35Z,1988.,Book - Physical,GEN,Book,31175012937390,London ; New York :,eng,NA,1
801,"Syria and the French mandate : the politics of Arab nationalism, 1920-1945 /","Khoury, Philip S. 1949- author. (Philip Shukry),",Princeton University Press,2016-08-03T01:52:36Z,[1987],Book - Physical,GEN,Book,31175011708693,"Princeton, N.J. :",eng,NA,1
802,Felt time : the psychology of how we perceive time /,"Wittmann, Marc, author.",MIT Press,2016-08-03T01:52:36Z,[2016],Book - Physical,GEN,Book,31175036481862,"Cambridge, Massachusetts :",eng,NA,1
803,Études sur Pierre Bayle /,"McKenna, Antony, author.",Honoré Champion éditeur,2016-08-03T01:52:35Z,2015.,Book - Physical,GEN,Book,31175036445677,Paris :,fre,NA,1
804,Cicero's De finibus : philosophical approaches /,NA,Cambridge University Press,2016-08-03T01:52:38Z,2016.,Book - Physical,GEN,Book,31175036431560,"Cambridge, United Kingdom :",eng,NA,1
805,Flann O'Brien : a critical introduction to his writings : the story-teller's book-web /,"Clune, Anne.",Barnes & Noble Books; Gill and Macmillan,2016-08-03T01:52:43Z,1975.,Book - Physical,GEN,Book,31175000889025,Dublin : New York :,eng,NA,1
806,"Politics of life itself : biomedicine, power, and subjectivity in the twenty-first century /","Rose, Nikolas S.",Princeton University Press,2021-07-20T10:26:42Z,©2007.,Book - Physical,GEN,Book,31175031688685,Princeton :,eng,NA,1
807,Pleasure in the eighteenth century /,NA,Macmillan,2016-08-03T01:52:51Z,1996.,Book - Physical,GEN,Book,31175021759553,"Basingstoke, Hants. :",eng,NA,1
808,Nature's nation /,"Miller, Perry, 1905-1963, author.",Belknap Press of Harvard University Press,2016-08-03T01:52:55Z,1967.,Book - Physical,GEN,Book,31175020423714,"Cambridge, MA :",eng,NA,1
809,American talmud : the cultural work of Jewish American fiction /,"Cappell, Ezra, 1971-",State University of New York Press,2016-08-03T01:52:55Z,"[2007], ©2007",Book - Physical,GEN,Book,31175031562450,Albany :,eng,NA,1
810,"The expressive actor : integrated voice, movement, and acting training /","Lugering, Michael.",Heinemann,2016-08-03T01:52:59Z,©2007.,Book - Physical,GEN,Book,31175032830971,"Portsmouth, NH :",eng,NA,1
811,Linear and generalized linear mixed models and their applications /,"Jiang, Jiming.",Springer,2016-08-03T01:53:02Z,©2007.,Book - Physical,GEN,Book,31175031518817,New York ; London :,eng,NA,1
812,"Art, alienation, and the humanities : a critical engagement with Herbert Marcuse /","Reitz, Charles.",State University of New York Press,2016-08-03T01:53:04Z,©2000.,Book - Physical,GEN,Book,31175025272959,Albany :,eng,NA,1
813,"Ms Florence, Biblioteca nazionale centrale, Magl. XIX, 164-167 /","Cummings, Anthony M.",Ashgate,2016-08-03T01:53:07Z,©2006.,Book - Physical,GEN,Book,31175031774709,"Aldershot, England ; Burlington, VT :",eng,NA,1
814,Computational methods for multiphase flow /,NA,Cambridge University Press,2016-08-03T01:53:08Z,2007.,Book - Physical,GEN,Book,31175031652806,Cambridge :,eng,NA,1
815,The web that has no weaver : understanding Chinese medicine /,"Kaptchuk, Ted J., 1947-",Contemporary Books,2016-08-03T01:53:11Z,©2000.,Book - Physical,GEN,Book,31175027318792,"Chicago, Ill :",eng,c.2,1
816,Pattern recognition and machine learning /,"Bishop, Christopher M., author.",Springer,2016-08-03T01:53:13Z,[2006],Book - Physical,GEN,Book,31175030932308,New York :,eng,NA,1
817,Straddling two cultures : Asian Indian children in America /,"Manian, Padma.",Many Cultures Pub,2016-08-03T01:53:15Z,©1997.,Book - Physical,GEN,Book,31175025385595,"San Francisco, Ca. :",eng,NA,1
